n,n_excluded_nan,spearman_rho_analytical_vs_mc_highb,spearman_rho_analytical_vs_original,jaccard_selected_analytical_vs_mc_highb,jaccard_selected_analytical_vs_original,max_abs_relative_std_error,max_abs_mean_diff_in_mc_se,b,length_bucket,median_active_strata,min_active_strata,strategy
24,6,0.9808695652173912,0.117391304347826,0.8,0.2666666666666666,0.9029320885659956,1.8633204377617647,10,L>=3,11.0,2,metaedge_degree_hurdle_adaptive
10,8,1.0,0.7333333333333332,1.0,0.6,0.3307953021092864,1.606856817352016,30,L=2,10.0,2,metaedge_degree_hurdle_adaptive
24,6,0.9913043478260868,0.117391304347826,1.0,0.2666666666666666,0.3311685107790036,1.6663946155228242,30,L>=3,11.0,2,metaedge_degree_hurdle_adaptive
10,8,0.9878787878787878,0.7333333333333332,1.0,0.6,0.0946211218266185,3.014511244547791,100,L=2,10.0,2,metaedge_degree_hurdle_adaptive
24,6,0.9930434782608696,0.117391304347826,1.0,0.2666666666666666,0.2116076661381012,2.081527155962135,100,L>=3,11.0,2,metaedge_degree_hurdle_adaptive
10,8,1.0,0.7333333333333332,1.0,0.6,0.094388646602158,1.8158721408066631,300,L=2,10.0,2,metaedge_degree_hurdle_adaptive
24,6,0.994782608695652,0.117391304347826,1.0,0.2666666666666666,0.0926959115295835,2.1374221995759526,300,L>=3,11.0,2,metaedge_degree_hurdle_adaptive
10,8,1.0,0.7333333333333332,1.0,0.6,0.0486585223616317,1.600896172314352,1000,L=2,10.0,2,metaedge_degree_hurdle_adaptive
24,6,1.0,0.117391304347826,1.0,0.2666666666666666,0.0781066366993274,2.144742374427587,1000,L>=3,11.0,2,metaedge_degree_hurdle_adaptive
10,8,1.0,0.7333333333333332,1.0,0.6,0.0179019505409205,2.5709366131736213,3000,L=2,10.0,2,metaedge_degree_hurdle_adaptive
24,6,0.9991304347826084,0.117391304347826,1.0,0.2666666666666666,0.0328727264353188,2.70304900433813,3000,L>=3,11.0,2,metaedge_degree_hurdle_adaptive
10,8,1.0,0.7333333333333332,1.0,0.6,0.0104232399138091,1.7701816194513718,10000,L=2,10.0,2,metaedge_degree_hurdle_adaptive
24,6,1.0,0.117391304347826,1.0,0.2666666666666666,0.0180449774040887,1.710951552707174,10000,L>=3,11.0,2,metaedge_degree_hurdle_adaptive
