lv_id,feature_idx,fraction,z_planted,recovered
LV57,217,0.1,13.039584907749193,True
LV57,217,0.25,13.039584907749193,True
LV57,217,0.5,13.914299503221157,True
LV246,24,0.1,6.840814456104002,True
LV246,24,0.25,6.840814456104002,True
LV246,24,0.5,6.840814456104002,True
LV246,7,0.1,8.055555650607856,True
LV246,7,0.25,8.055555650607856,True
LV246,7,0.5,8.055555650607856,True
LV246,56,0.1,8.495543435545127,True
LV246,56,0.25,8.495543435545127,True
LV246,56,0.5,8.495543435545127,True
LV57,362,0.1,12.753415865043706,True
LV57,362,0.25,12.753415865043706,True
LV57,362,0.5,12.753415865043706,True
LV57,315,0.1,9.428670272016497,True
LV57,315,0.25,9.428670272016497,True
LV57,315,0.5,9.586799735741835,True
LV246,139,0.1,6.320475603334174,True
LV246,139,0.25,6.320475603334174,True
LV246,139,0.5,6.320475603334174,True
LV246,146,0.1,6.449633036945946,True
LV246,146,0.25,6.449633036945946,True
LV246,146,0.5,6.449633036945946,True
LV57,242,0.1,23.37830201045047,True
LV57,242,0.25,27.476225159276005,True
LV57,242,0.5,27.476225159276005,True
LV246,47,0.1,10.814899148896554,True
LV246,47,0.25,12.328692504180037,True
LV246,47,0.5,14.479855012679801,True
LV246,2,0.1,7.901762744549922,True
LV246,2,0.25,7.901762744549922,True
LV246,2,0.5,7.901762744549922,True
LV57,324,0.1,13.090135468159117,True
LV57,324,0.25,13.090135468159117,True
LV57,324,0.5,13.794339755530283,True
LV246,158,0.1,5.56543439729005,True
LV246,158,0.25,5.56543439729005,True
LV246,158,0.5,5.56543439729005,True
LV246,127,0.1,9.320097645798013,True
LV246,127,0.25,9.320097645798013,True
LV246,127,0.5,9.511380324196416,True
LV57,218,0.1,7.747229407608681,True
LV57,218,0.25,7.747229407608681,True
LV57,218,0.5,9.329116561532683,True
LV57,213,0.1,6.722583509594033,True
LV57,213,0.25,6.932295219171158,True
LV57,213,0.5,7.014372711116876,True
LV246,168,0.1,6.383669876065253,True
LV246,168,0.25,6.383669876065253,True
LV246,168,0.5,6.383669876065253,True
LV246,128,0.1,8.141904068239906,True
LV246,128,0.25,8.141904068239906,True
LV246,128,0.5,8.352950967684578,True
LV246,162,0.1,6.688940176160583,True
LV246,162,0.25,6.688940176160583,True
LV246,162,0.5,6.688940176160583,True
LV57,207,0.1,9.039825720054493,True
LV57,207,0.25,9.41932153838318,True
LV57,207,0.5,10.264694474712266,True
LV246,65,0.1,7.511575974395605,True
LV246,65,0.25,7.511575974395605,True
LV246,65,0.5,7.511575974395605,True
LV246,161,0.1,7.500072761275765,True
LV246,161,0.25,7.500072761275765,True
LV246,161,0.5,7.500072761275765,True
LV246,120,0.1,11.239969607965898,True
LV246,120,0.25,11.239969607965898,True
LV246,120,0.5,11.239969607965898,True
LV246,159,0.1,5.957654353192214,True
LV246,159,0.25,5.957654353192214,True
LV246,159,0.5,6.191914759062092,True
LV57,210,0.1,5.498126026363338,True
LV57,210,0.25,6.275641566802905,True
LV57,210,0.5,7.690791358598245,True
LV57,371,0.1,6.629795185388431,True
LV57,371,0.25,6.629795185388431,True
LV57,371,0.5,6.629795185388431,True
LV246,93,0.1,10.30111588747365,True
LV246,93,0.25,10.30111588747365,True
LV246,93,0.5,10.30111588747365,True
LV246,79,0.1,6.8543719890299215,True
LV246,79,0.25,6.8543719890299215,True
LV246,79,0.5,6.8543719890299215,True
LV57,224,0.1,4.4077371034518595,True
LV57,224,0.25,4.4077371034518595,True
LV57,224,0.5,4.4077371034518595,True
LV246,57,0.1,6.971692941370645,True
LV246,57,0.25,6.971692941370645,True
LV246,57,0.5,6.971692941370645,True
LV603,441,0.1,7.038821639178723,True
LV603,441,0.25,7.038821639178723,True
LV603,441,0.5,7.038821639178723,True
LV57,339,0.1,13.31772555993064,True
LV57,339,0.25,13.31772555993064,True
LV57,339,0.5,13.31772555993064,True
LV57,301,0.1,3.5435198112944315,True
LV57,301,0.25,3.5435198112944315,True
LV57,301,0.5,3.5435198112944315,True
LV246,173,0.1,9.042529221041827,True
LV246,173,0.25,9.042529221041827,True
LV246,173,0.5,9.042529221041827,True
