lv_id,feature_idx,fraction,z_planted,recovered
LV57,217,0.1,8.266242842529454,True
LV57,217,0.25,9.960060220032272,True
LV57,217,0.5,14.260730988131929,True
LV246,24,0.1,3.6696867704737994,True
LV246,24,0.25,5.242377460252126,True
LV246,24,0.5,8.263905862863382,True
LV246,7,0.1,7.1072305568619205,True
LV246,7,0.25,7.1072305568619205,True
LV246,7,0.5,8.521720015224478,True
LV246,56,0.1,3.2153941891763154,True
LV246,56,0.25,5.26579323957009,True
LV246,56,0.5,7.978615883673916,True
LV57,362,0.1,14.294173064954629,True
LV57,362,0.25,14.294173064954629,True
LV57,362,0.5,14.294173064954629,True
LV57,315,0.1,14.823096771433061,True
LV57,315,0.25,14.823096771433061,True
LV57,315,0.5,15.952322893416579,True
LV246,139,0.1,9.05678913919375,True
LV246,139,0.25,9.05678913919375,True
LV246,139,0.5,9.05678913919375,True
LV246,146,0.1,8.87521577059552,True
LV246,146,0.25,8.87521577059552,True
LV246,146,0.5,8.87521577059552,True
LV57,242,0.1,20.051774711340222,True
LV57,242,0.25,28.049394320595628,True
LV57,242,0.5,34.75390743681652,True
LV246,47,0.1,3.9575653649324165,True
LV246,47,0.25,6.129924245461401,True
LV246,47,0.5,9.002396819152985,True
LV246,2,0.1,5.801307727541961,True
LV246,2,0.25,5.801307727541961,True
LV246,2,0.5,7.383181069153682,True
LV57,324,0.1,16.875410559906452,True
LV57,324,0.25,18.363277388113232,True
LV57,324,0.5,22.62270033515469,True
LV246,158,0.1,4.050884177827318,True
LV246,158,0.25,5.051767856196831,True
LV246,158,0.5,6.71392764750133,True
LV246,127,0.1,8.068780074234624,True
LV246,127,0.25,8.532188069669203,True
LV246,127,0.5,10.106258290986737,True
LV57,218,0.1,4.977175934285284,True
LV57,218,0.25,6.136984038564175,True
LV57,218,0.5,9.281890179311933,True
LV57,213,0.1,4.514141757019347,True
LV57,213,0.25,5.631305347520222,True
LV57,213,0.5,8.674591658305385,True
LV246,168,0.1,4.3816656098414715,True
LV246,168,0.25,4.628182785756985,True
LV246,168,0.5,5.197527938035929,True
LV246,128,0.1,5.608762529711168,True
LV246,128,0.25,6.093448380105256,True
LV246,128,0.5,7.581417312744635,True
LV246,162,0.1,5.102085717412254,True
LV246,162,0.25,5.7944806222941,True
LV246,162,0.5,7.358845750540205,True
LV57,207,0.1,5.247760332360569,True
LV57,207,0.25,6.733442001119004,True
LV57,207,0.5,10.798128200317276,True
LV246,65,0.1,4.96972534943564,True
LV246,65,0.25,5.446657894582042,True
LV246,65,0.5,7.227152517462876,True
LV246,161,0.1,3.73335452671398,True
LV246,161,0.25,4.452738053840745,True
LV246,161,0.5,5.924707814309805,True
LV246,120,0.1,12.285558011976907,True
LV246,120,0.25,12.285558011976907,True
LV246,120,0.5,12.51095770025751,True
LV246,159,0.1,4.758221727065931,True
LV246,159,0.25,5.861780509260433,True
LV246,159,0.5,8.056371271487308,True
LV57,210,0.1,3.91130982600445,True
LV57,210,0.25,4.711745440465401,True
LV57,210,0.5,7.154155147300326,True
LV57,371,0.1,6.872366957446024,True
LV57,371,0.25,6.872366957446024,True
LV57,371,0.5,6.872366957446024,True
LV246,93,0.1,10.90785035248539,True
LV246,93,0.25,10.90785035248539,True
LV246,93,0.5,11.129684313201855,True
LV246,79,0.1,4.0997417556612215,True
LV246,79,0.25,4.0997417556612215,True
LV246,79,0.5,4.878615447067622,True
LV57,224,0.1,6.274736482344688,True
LV57,224,0.25,6.274736482344688,True
LV57,224,0.5,6.274736482344688,True
LV246,57,0.1,8.354027902272604,True
LV246,57,0.25,11.762883926395304,True
LV246,57,0.5,16.139156700529394,True
LV603,441,0.1,2.0410294136162515,True
LV603,441,0.25,4.503006922571418,True
LV603,441,0.5,6.964984431526585,True
LV57,339,0.1,12.425402145948233,True
LV57,339,0.25,13.358110734488434,True
LV57,339,0.5,16.651920533473877,True
LV57,301,0.1,2.9045603532927733,True
LV57,301,0.25,4.468371142226097,True
LV57,301,0.5,5.531562721190161,True
LV246,173,0.1,2.557192056834358,True
LV246,173,0.25,4.26427352126463,True
LV246,173,0.5,6.666198960536452,True
