lv_id,feature_idx,z_draw
LV57,217,-0.48713264035541315
LV57,217,0.04377190736527453
LV57,217,-0.6163614234708532
LV57,217,-0.6541407952730864
LV57,217,-1.3618472358273763
LV57,217,-0.6460345595315481
LV57,217,1.2840449185328
LV57,217,1.3236772077423284
LV57,217,-0.3987586628468799
LV57,217,1.9644259187392086
LV57,217,3.1795681317147704
LV57,217,1.7227925046214692
LV57,217,0.9179211117925112
LV57,217,0.34449146481072357
LV57,217,-1.3618472358273763
LV57,217,0.3595320671948835
LV57,217,-0.4134171204698618
LV57,217,0.5667392808270862
LV57,217,-1.3618472358273763
LV57,217,-0.5393066502707294
LV57,217,-0.6417003691642224
LV57,217,-0.5054818141964295
LV57,217,-0.42250250767069075
LV57,217,0.06600607139006749
LV57,217,-1.3618472358273763
LV57,217,0.07411230713160594
LV57,217,-1.3618472358273763
LV57,217,0.2707974666920341
LV57,217,-0.5970102424098707
LV57,217,-1.3618472358273763
LV57,217,1.1762060147574318
LV57,217,1.119333812029479
LV57,217,-0.5183618801998443
LV57,217,-0.4775012050201569
LV57,217,-1.3618472358273763
LV57,217,-1.3618472358273763
LV57,217,-0.4775012050201569
LV57,217,-0.572555823547937
LV57,217,-1.3618472358273763
LV57,217,0.3052438549506194
LV57,217,3.8840901956362637
LV57,217,-0.39641634757578126
LV57,217,-1.3618472358273763
LV57,217,-1.3618472358273763
LV57,217,2.6959012387345473
LV57,217,-0.42250250767069075
LV57,217,-0.5970102424098707
LV57,217,-0.39641634757578126
LV57,217,0.27276715302449267
LV57,217,2.3042368753691718
LV57,217,0.1162297378832248
LV57,217,-0.42250250767069075
LV57,217,0.34906946478074186
LV57,217,-0.4134171204698618
LV57,217,0.20222462635786032
LV57,217,0.28683296166248684
LV57,217,0.24587752845556285
LV57,217,0.45221208780127237
LV57,217,-0.27287855993562954
LV57,217,-1.3618472358273763
LV57,217,-0.6417003691642224
LV57,217,2.8027026955209644
LV57,217,-1.3618472358273763
LV57,217,0.4395556880939627
LV57,217,-0.572555823547937
LV57,217,1.2474961560237485
LV57,217,-0.48713264035541315
LV57,217,0.07411230713160594
LV57,217,-1.3618472358273763
LV57,217,0.18188820193250452
LV57,217,-0.46993514784026535
LV57,217,0.3014914192854689
LV57,217,0.40324339822162814
LV57,217,2.725553475558827
LV57,217,0.3350129940994435
LV57,217,-0.37560871206894947
LV57,217,-0.6163614234708532
LV57,217,0.3320977284853403
LV57,217,0.23026246386874263
LV57,217,1.8808032714635599
LV57,217,1.2223495722383222
LV57,217,-1.3618472358273763
LV57,217,-0.6417003691642224
LV57,217,1.257896238594486
LV57,217,-0.48713264035541315
LV57,217,1.3223822110144028
LV57,217,0.3996488184911046
LV57,217,2.035000772522594
LV57,217,1.2459010551541903
LV57,217,-0.43733438448945994
LV57,217,-0.4442444724446714
LV57,217,0.20178498646330975
LV57,217,-0.3006012636412442
LV57,217,-1.3618472358273763
LV57,217,0.566672225404715
LV57,217,-0.4727186593320306
LV57,217,-0.42250250767069075
LV57,217,0.20782940136632014
LV57,217,0.5428840919862878
LV57,217,-1.3618472358273763
LV57,217,0.2330142263077407
LV57,217,2.0667373302143934
LV57,217,2.103406152166682
LV57,217,-1.3618472358273763
LV57,217,-0.4442444724446714
LV57,217,0.22712393215667864
LV57,217,0.8643079004180032
LV57,217,0.32298330468583214
LV57,217,-1.3618472358273763
LV57,217,-1.3618472358273763
LV57,217,0.26346196810961836
LV57,217,1.0026026833575123
LV57,217,-0.6615971536950276
LV57,217,0.9064788243215531
LV57,217,-0.6163614234708532
LV57,217,2.1538449918619964
LV57,217,-0.6417003691642224
LV57,217,-0.5183618801998443
