gene_row_idx,gene_identifier,degree,degree_bin
396,578,389,9
397,579,395,9
398,580,591,9
399,581,735,9
400,582,175,7
401,583,268,8
402,585,377,9
403,586,128,6
404,587,128,6
405,590,186,7
406,593,177,7
407,594,99,5
408,595,761,9
409,596,1121,9
410,597,180,7
411,598,568,9
412,599,196,7
413,602,328,9
414,604,627,9
415,605,23,1
416,607,110,5
417,608,74,4
418,610,114,5
419,611,58,3
420,613,392,9
421,617,136,6
422,622,250,8
423,623,117,5
424,624,280,8
425,627,254,8
426,629,149,6
427,631,56,3
428,632,153,7
429,633,230,8
430,634,175,7
431,635,116,5
432,636,182,7
433,637,574,9
434,638,186,7
435,639,318,8
436,640,146,6
437,641,494,9
438,642,540,9
439,643,114,5
440,644,554,9
441,645,142,6
442,646,39,2
443,648,240,8
444,649,125,6
445,650,649,9
446,651,59,3
447,652,918,9
448,653,167,7
449,654,288,8
450,655,455,9
451,656,47,2
452,657,330,9
453,658,335,9
454,659,433,9
455,660,152,7
456,661,207,8
457,662,89,4
458,663,150,6
459,664,443,9
460,665,419,9
461,666,145,6
462,667,193,7
463,668,182,7
464,669,186,7
465,670,328,9
466,671,33,2
467,672,1063,9
468,673,651,9
469,675,357,9
470,676,108,5
471,677,392,9
472,678,345,9
473,680,53,3
474,682,249,8
475,683,69,3
476,684,275,8
477,685,141,6
478,686,84,4
479,687,182,7
480,688,233,8
481,689,149,6
482,694,321,8
483,695,510,9
484,696,13,1
485,699,260,8
486,701,528,9
487,705,285,8
488,706,345,9
489,708,769,9
490,710,241,8
491,712,255,8
492,713,139,6
493,714,130,6
494,715,142,6
495,716,172,7
496,717,212,8
497,718,437,9
498,719,193,7
499,720,102,5
500,721,109,5
501,722,130,6
502,725,126,6
503,726,93,5
504,727,416,9
505,728,238,8
506,729,120,6
507,730,129,6
508,731,67,3
509,732,155,7
510,733,76,4
511,734,47,2
512,735,86,4
513,738,80,4
514,740,149,6
515,741,48,2
516,744,77,4
517,745,80,4
518,746,110,5
519,747,121,6
520,752,128,6
521,753,132,6
522,754,149,6
523,755,61,3
524,757,83,4
525,758,42,2
526,759,110,5
527,760,374,9
528,761,70,3
529,762,153,7
530,763,54,3
531,765,56,3
532,766,92,4
533,767,79,4
534,768,85,4
535,770,198,7
536,771,188,7
537,773,481,9
538,774,148,6
539,775,349,9
540,776,224,8
541,777,138,6
542,778,158,7
543,779,164,7
544,780,631,9
545,781,116,5
546,782,171,7
547,783,209,8
548,784,230,8
549,785,241,8
550,786,70,3
551,788,194,7
552,790,343,9
553,793,156,7
554,794,105,5
555,795,13,1
556,796,325,8
557,797,52,3
558,799,125,6
559,800,157,7
560,801,1352,9
561,805,1232,9
562,808,1208,9
563,810,49,2
564,811,624,9
565,813,335,9
566,814,206,7
567,815,332,9
568,816,386,9
569,817,533,9
570,818,418,9
571,819,132,6
572,820,138,6
573,821,371,9
574,822,171,7
575,823,479,9
576,824,263,8
577,825,190,7
578,826,234,8
579,827,242,8
580,828,64,3
581,829,198,7
582,830,113,5
583,831,488,9
584,832,216,8
585,833,233,8
586,834,326,8
587,835,462,9
588,836,1077,9
589,837,264,8
590,838,74,4
591,839,223,8
592,840,475,9
593,841,694,9
594,842,353,9
595,843,507,9
596,844,105,5
597,845,230,8
598,846,96,5
599,847,574,9
600,857,1036,9
601,858,291,8
602,859,486,9
603,860,281,8
604,861,332,9
605,862,185,7
606,863,268,8
607,864,191,7
608,865,203,7
609,866,129,6
610,867,506,9
611,868,453,9
612,869,106,5
613,871,247,8
614,873,490,9
615,874,406,9
616,875,432,9
617,881,65,3
618,883,186,7
619,885,204,7
620,886,174,7
621,887,130,6
622,889,121,6
623,890,736,9
624,891,951,9
625,892,426,9
626,894,203,7
627,896,554,9
628,898,328,9
629,899,197,7
630,900,207,8
631,901,144,6
632,902,378,9
633,904,301,8
634,905,136,6
635,908,234,8
636,909,57,3
637,910,107,5
638,911,46,2
639,912,151,6
640,913,51,3
641,914,190,7
642,915,227,8
643,916,219,8
644,917,106,5
645,919,211,8
646,920,540,9
647,921,102,5
648,922,24,1
649,923,132,6
650,924,67,3
651,925,210,8
652,926,84,4
653,928,248,8
654,929,330,9
655,930,173,7
656,931,80,4
657,932,38,2
658,933,79,4
659,939,215,8
660,940,288,8
661,941,214,8
662,942,277,8
663,943,79,4
664,944,102,5
665,945,71,4
666,946,14,1
667,947,295,8
668,948,462,9
669,949,426,9
670,950,166,7
671,951,86,4
672,952,170,7
673,953,59,3
674,954,109,5
675,955,256,8
676,956,69,3
677,957,128,6
678,958,646,9
679,959,246,8
680,960,444,9
681,961,190,7
682,962,89,4
683,963,117,5
684,965,364,9
685,966,262,8
686,967,257,8
687,968,97,5
688,969,66,3
689,970,75,4
690,971,61,3
691,972,409,9
692,973,182,7
693,974,97,5
694,975,338,9
695,976,388,9
696,977,217,8
697,978,166,7
698,983,1203,9
699,984,277,8
700,987,83,4
701,988,382,9
702,989,226,8
703,990,259,8
704,991,2117,9
705,993,454,9
706,994,912,9
707,995,215,8
708,996,342,9
709,997,247,8
710,998,1118,9
711,999,582,9
712,1000,326,9
713,1001,262,8
714,1002,98,5
715,1003,191,7
716,1004,70,3
717,1005,40,2
718,1006,45,2
719,1007,36,2
720,1008,56,3
721,1009,114,5
722,1010,36,2
723,1012,166,7
724,1013,64,3
725,1014,87,4
726,1015,72,4
727,1016,51,3
728,1017,1627,9
729,1018,97,5
