lv_id,null_type,feature_idx,target_set_id,target_set_label,node_type,metapath,n_eff,null_mean,null_std,exceed_count,p_empirical,d_mean,d_median,d_iqr
LV246,permuted,0,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GaDlA,20,0.7650875627994539,0.40783948675781256,6,0.3333333333333333,0.11596834231168032,0.06222057342529297,0.2357417233288288
LV246,permuted,1,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GcGdA,20,1.7147414088249207,0.48452500936785964,20,1.0,-0.44370643347501754,-0.41559047996997833,0.3669215105473995
LV246,permuted,2,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GdDlA,20,0.0,0.0,20,1.0,,,
LV246,permuted,3,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GiGdA,20,1.8896539032459259,0.6070150703320486,5,0.2857142857142857,0.14703346200985834,0.16547338664531708,0.21605732856551185
LV246,permuted,4,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GuDlA,20,0.567022329568863,0.3496403471999437,18,0.9047619047619048,-0.04922898651825057,0.0,0.06075921282172203
LV246,random,0,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GaDlA,50,0.583919648528099,0.4705591701155785,9,0.19607843137254902,0.21881869208067656,0.2357073873281479,0.3348278822377324
LV246,random,1,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GcGdA,20,1.33540311306715,0.8887593059882127,17,0.8571428571428571,-0.3216177310794592,-0.33722688257694244,0.310355044901371
LV246,random,2,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GdDlA,20,0.24397437572479244,0.3634162218572627,20,1.0,-0.4064218614782606,-0.3535533845424652,0.09212653338909149
LV246,random,3,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GiGdA,20,2.18600464463234,0.774309417653744,10,0.5238095238095238,0.03381809302954934,0.0054942651768215,0.3476900886744261
LV246,random,4,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GuDlA,20,0.2554003834724426,0.4412428843489145,7,0.38095238095238093,0.17212421875447034,0.3535534143447876,0.3848919114097953
LV57,permuted,5,hypothyroidism,Hypothyroidism disease term,Disease,GbCpD,20,0.0,0.0,20,1.0,,,
LV57,permuted,6,hypothyroidism,Hypothyroidism disease term,Disease,GdAlD,20,1.500674274563789,0.4017330722944958,11,0.5714285714285714,-0.08138590939342975,-0.09982458129525185,0.38889160193502903
LV57,permuted,7,hypothyroidism,Hypothyroidism disease term,Disease,GdCpD,20,0.0,0.0,20,1.0,,,
LV57,permuted,8,hypothyroidism,Hypothyroidism disease term,Disease,GeAlD,20,1.281861209869385,0.160715915107796,14,0.7142857142857143,-0.13366280233312863,-0.09421718493103981,0.31935492537741084
LV57,permuted,9,hypothyroidism,Hypothyroidism disease term,Disease,GuAlD,20,1.4868972837924959,0.40631875143630675,20,1.0,-0.38546165311709046,-0.3357558697462082,0.2827809117734432
LV57,random,5,hypothyroidism,Hypothyroidism disease term,Disease,GbCpD,20,0.0,0.0,20,1.0,,,
LV57,random,6,hypothyroidism,Hypothyroidism disease term,Disease,GdAlD,20,2.092845886945724,0.3298772973741755,20,1.0,-0.4357362907379866,-0.4426833540201187,0.33183395862579346
LV57,random,7,hypothyroidism,Hypothyroidism disease term,Disease,GdCpD,20,0.0,0.0,20,1.0,,,
LV57,random,8,hypothyroidism,Hypothyroidism disease term,Disease,GeAlD,20,1.7183710753917694,0.1776373449903907,19,0.9523809523809523,-0.5620004240423441,-0.5294941961765289,0.27362601459026337
LV57,random,9,hypothyroidism,Hypothyroidism disease term,Disease,GuAlD,20,2.089265716075897,0.24856310123367864,20,1.0,-0.8539708316326141,-0.7575730383396149,0.40411561727523804
LV603,permuted,10,neutrophil_bp,Neutrophil biological process terms,Biological Process,G<rGpBP,20,0.07622846495360137,0.03285538009050241,20,1.0,-0.35016636736691,-0.3535533845424652,0.16998635232448578
LV603,permuted,11,neutrophil_bp,Neutrophil biological process terms,Biological Process,GcGpBP,20,0.0,0.0,20,1.0,,,
LV603,permuted,12,neutrophil_bp,Neutrophil biological process terms,Biological Process,GdAdGpBP,30,0.4960441887378693,0.10673358280820311,6,0.22580645161290322,0.28591205143990617,0.23946763575077057,0.45895232632756233
LV603,permuted,13,neutrophil_bp,Neutrophil biological process terms,Biological Process,GiGpBP,20,0.1468292193487286,0.07856409140598315,14,0.7142857142857143,-0.15018510557711123,-0.09747964143753052,0.34183615259826183
LV603,permuted,14,neutrophil_bp,Neutrophil biological process terms,Biological Process,Gr>GpBP,20,0.058805521251633755,0.05003721318613446,6,0.3333333333333333,0.20757507532835007,0.2652217149734497,0.36597033590078354
LV603,random,10,neutrophil_bp,Neutrophil biological process terms,Biological Process,G<rGpBP,20,0.06337931752204895,0.07304415415584176,12,0.6190476190476191,-0.01978218965232372,-0.14078713953495026,0.6422521620988846
