lv_id,target_set_id,target_set_label,node_type,feature_idx,metapath,real_mean,n_real_genes,perm_null_mean,perm_null_std,p_perm,d_perm,b_eff_perm,rand_null_mean,rand_null_std,p_rand,d_rand,b_eff_rand,diff_perm,diff_rand,min_diff,min_d,p_perm_fdr,p_rand_fdr,supported
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,0,GaDlA,0.97666597366333,8,0.8601853489875793,0.4042837621140953,0.3809523809523809,0.0492740217596292,20,0.583919648528099,0.4705591701155785,0.196078431372549,0.2357073873281479,50,0.11648062467575071,0.392746325135231,0.11648062467575071,0.0492740217596292,0.9523809523809521,0.8730158730158731,False
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,3,GiGdA,2.3078670501708984,8,1.8845652341842651,0.5948905248199028,0.3225806451612903,0.1150482669472694,30,2.18600464463234,0.774309417653744,0.5238095238095238,0.0054942651768215,20,0.4233018159866333,0.12186240553855843,0.12186240553855843,0.0054942651768215,0.9523809523809521,0.8730158730158731,False
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,4,GuDlA,0.4627994298934936,8,0.8100850611925124,0.5357677176350147,0.8095238095238095,-0.2305924743413925,20,0.2554003834724426,0.4412428843489145,0.3809523809523809,0.3535534143447876,20,-0.34728563129901885,0.207399046421051,-0.34728563129901885,-0.2305924743413925,1.0,0.8730158730158731,False
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,1,GcGdA,0.530951738357544,8,1.3668750494718551,0.5482440885540907,0.9523809523809524,-0.3071793019771576,20,1.33540311306715,0.8887593059882127,0.8571428571428571,-0.3372268825769424,20,-0.8359233111143112,-0.804451374709606,-0.8359233111143112,-0.3372268825769424,1.0,1.0,False
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,2,GdDlA,0.0,8,0.0,0.0,1.0,,20,0.2439743757247924,0.3634162218572627,1.0,-0.3535533845424652,20,0.0,-0.2439743757247924,-0.2439743757247924,,1.0,1.0,False
LV57,hypothyroidism,Hypothyroidism disease term,Disease,6,GdAlD,1.3599541187286377,8,1.648929247260094,0.3993704937962815,0.8095238095238095,-0.2483959272503852,20,2.092845886945724,0.3298772973741755,1.0,-0.4426833540201187,20,-0.28897512853145635,-0.7328917682170863,-0.7328917682170863,-0.4426833540201187,1.0,1.0,False
LV57,hypothyroidism,Hypothyroidism disease term,Disease,8,GeAlD,1.1769838333129885,8,1.303202578425407,0.1869594489037648,0.7619047619047619,-0.1371729299426078,20,1.7183710753917694,0.1776373449903907,0.9523809523809524,-0.5294941961765289,20,-0.1262187451124186,-0.5413872420787809,-0.5413872420787809,-0.5294941961765289,1.0,1.0,False
LV57,hypothyroidism,Hypothyroidism disease term,Disease,9,GuAlD,0.8548583984375,8,1.6678457319736482,0.4392918404581253,1.0,-0.4453642219305038,20,2.089265716075897,0.2485631012336786,1.0,-0.7575730383396149,20,-0.8129873335361482,-1.234407317638397,-1.234407317638397,-0.7575730383396149,1.0,1.0,False
LV57,hypothyroidism,Hypothyroidism disease term,Disease,5,GbCpD,0.0,8,0.0,0.0,1.0,,20,0.0,0.0,1.0,,20,0.0,0.0,0.0,,1.0,1.0,False
LV57,hypothyroidism,Hypothyroidism disease term,Disease,7,GdCpD,0.0,8,0.0,0.0,1.0,,20,0.0,0.0,1.0,,20,0.0,0.0,0.0,,1.0,1.0,False
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,12,GdAdGpBP,0.5983695983886719,8,0.5468745946884156,0.0884091864714937,0.4285714285714285,0.156075045466423,20,0.5296977174282071,0.1109636412921429,0.2941176470588235,0.1328285932540893,50,0.05149500370025628,0.06867188096046473,0.05149500370025628,0.1328285932540893,1.0,0.4901960784313725,False
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,14,Gr>GpBP,0.1103157401084899,8,0.1073764722328633,0.0724144826904186,0.4285714285714285,0.041249718517065,20,0.0678814966231584,0.0793042018976754,0.2857142857142857,0.4314171224832535,20,0.0029392678756265944,0.042434243485331494,0.0029392678756265944,0.041249718517065,1.0,0.4901960784313725,False
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,13,GiGpBP,0.0965296328067779,8,0.1537362763658166,0.0678925615802466,0.7619047619047619,-0.1633250713348388,20,0.066491210879758,0.0711738630203095,0.2857142857142857,0.1460683718323707,20,-0.057206643559038706,0.0300384219270199,-0.057206643559038706,-0.1633250713348388,1.0,0.4901960784313725,False
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,10,G<rGpBP,0.0270263813436031,8,0.0638575686141848,0.0410270512230622,0.9047619047619048,-0.2471863329410553,20,0.0633793175220489,0.0730441541558417,0.6190476190476191,-0.1407871395349502,20,-0.036831187270581704,-0.036352936178445795,-0.036831187270581704,-0.2471863329410553,1.0,0.7738095238095238,False
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,11,GcGpBP,0.0,8,0.0,0.0,1.0,,20,0.0025105558335781,0.0112275470103786,1.0,-0.3535533845424652,20,0.0,-0.0025105558335781,-0.0025105558335781,,1.0,1.0,False
