lv_id,null_type,feature_idx,target_set_id,target_set_label,node_type,metapath,n_eff,null_mean,null_std,exceed_count,p_empirical,d_mean,d_median,d_iqr
LV246,permuted,0,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GaDlA,20,0.8601853489875793,0.4042837621140953,7,0.38095238095238093,0.07592297848314047,0.04927402175962925,0.21000701002776623
LV246,permuted,1,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GcGdA,20,1.3668750494718551,0.5482440885540907,19,0.9523809523809523,-0.35885511451633645,-0.3071793019771576,0.21559176966547966
LV246,permuted,2,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GdDlA,20,0.0,0.0,20,1.0,,,
LV246,permuted,3,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GiGdA,30,1.8845652341842651,0.5948905248199028,9,0.3225806451612903,0.15679332447083047,0.11504826694726944,0.312218516075518
LV246,permuted,4,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GuDlA,20,0.8100850611925124,0.5357677176350147,16,0.8095238095238095,-0.13303843042568156,-0.23059247434139252,0.3535534143447876
LV246,random,0,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GaDlA,50,0.583919648528099,0.4705591701155785,9,0.19607843137254902,0.21881869208067656,0.2357073873281479,0.3348278822377324
LV246,random,1,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GcGdA,20,1.33540311306715,0.8887593059882127,17,0.8571428571428571,-0.3216177310794592,-0.33722688257694244,0.310355044901371
LV246,random,2,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GdDlA,20,0.24397437572479244,0.3634162218572627,20,1.0,-0.4064218614782606,-0.3535533845424652,0.09212653338909149
LV246,random,3,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GiGdA,20,2.18600464463234,0.774309417653744,10,0.5238095238095238,0.03381809302954934,0.0054942651768215,0.3476900886744261
LV246,random,4,adipose_tissue,Adipose tissue anatomy terms,Anatomy,GuDlA,20,0.2554003834724426,0.4412428843489145,7,0.38095238095238093,0.17212421875447034,0.3535534143447876,0.3848919114097953
LV57,permuted,5,hypothyroidism,Hypothyroidism disease term,Disease,GbCpD,20,0.0,0.0,20,1.0,,,
LV57,permuted,6,hypothyroidism,Hypothyroidism disease term,Disease,GdAlD,20,1.648929247260094,0.39937049379628153,16,0.8095238095238095,-0.21263191029429435,-0.24839592725038528,0.34722187370061874
LV57,permuted,7,hypothyroidism,Hypothyroidism disease term,Disease,GdCpD,20,0.0,0.0,20,1.0,,,
LV57,permuted,8,hypothyroidism,Hypothyroidism disease term,Disease,GeAlD,20,1.3032025784254073,0.18695944890376487,15,0.7619047619047619,-0.13744259597733616,-0.13717292994260788,0.24333570571616292
LV57,permuted,9,hypothyroidism,Hypothyroidism disease term,Disease,GuAlD,20,1.6678457319736482,0.4392918404581253,20,1.0,-0.47003092486411335,-0.44536422193050385,0.37245503813028336
LV57,random,5,hypothyroidism,Hypothyroidism disease term,Disease,GbCpD,20,0.0,0.0,20,1.0,,,
LV57,random,6,hypothyroidism,Hypothyroidism disease term,Disease,GdAlD,20,2.092845886945724,0.3298772973741755,20,1.0,-0.4357362907379866,-0.4426833540201187,0.33183395862579346
LV57,random,7,hypothyroidism,Hypothyroidism disease term,Disease,GdCpD,20,0.0,0.0,20,1.0,,,
LV57,random,8,hypothyroidism,Hypothyroidism disease term,Disease,GeAlD,20,1.7183710753917694,0.1776373449903907,19,0.9523809523809523,-0.5620004240423441,-0.5294941961765289,0.27362601459026337
