node_type,metapath,target_abbrev
Anatomy,GaDlA,A
Anatomy,GiGdA,A
Anatomy,GuDlA,A
Disease,GdAlD,D
Disease,GeAlD,D
Disease,GuAlD,D
Biological Process,GdAdGpBP,BP
Biological Process,Gr>GpBP,BP
Biological Process,GiGpBP,BP
