z_original,z_mc_highb,z_analytical,selected_original,selected_mc_highb,selected_analytical,lv_id,feature_idx,length,n_active_strata,mean_analytical,std_analytical,mean_mc_highb,std_mc_highb,b_mc_highb
8.839990852997905,5.303543458573516,5.322592323221088,True,True,True,LV57,217,2,5,0.1408526685407728,0.14055199274821598,0.1408950474654927,0.1410488260412152,10000
7.002628041853701,6.449514230303364,6.462599085315885,True,True,True,LV246,24,2,8,0.5061730913261904,0.1970313934866911,0.5056357526975519,0.19751444782754185,10000
2.6484195702518045,2.0367867394487456,2.070609883248772,True,True,True,LV246,7,2,7,1.9534545642388204,0.2503062693979804,1.9564574124076786,0.2529885810358284,10000
-2.023012214055437,0.08076686105237173,0.05701372437424941,False,False,False,LV246,56,2,9,0.8779031642094896,0.25462514246310075,0.8720028833624194,0.25279437967728013,10000
,,,False,False,False,LV57,345,2,8,0.0,,0.0,,10000
0.16155986799696456,0.2597656724217934,0.25929797131973803,False,False,False,LV57,362,2,7,0.16565199213549234,0.12330201013532696,0.16551604195061856,0.1236033651916669,10000
,,,False,False,False,LV57,403,2,7,0.0,,0.0,,10000
-0.2732509521946141,-0.0826782101680398,-0.07892823378362915,False,False,False,LV57,407,2,7,0.0014068698124896544,0.01782467116072043,0.001520398076842813,0.018389344347835675,10000
-4.779856548802951,-0.39528497825749026,-0.3818150763766929,False,False,False,LV57,315,2,7,1.3924674690666037,0.09371632942206094,1.3935900636338139,0.09336277388005801,10000
2.066608070763449,0.5847178938688468,0.593807746612469,True,False,False,LV246,139,2,8,2.149230532328507,0.06962461683311524,2.150065526825365,0.0692789510263507,10000
,,,False,False,False,LV57,283,2,6,0.0,,0.0,,10000
1.9477072513352582,0.3447983417556438,0.359452102545138,True,False,False,LV246,146,2,8,2.5413470648369327,0.08988804794598419,2.5427939495556493,0.08951192442514244,10000
,,,False,False,False,LV57,333,2,8,0.0,,0.0,,10000
-0.88198953397935,-0.6229201555385312,-0.6366337360324511,False,False,False,LV57,242,2,7,0.051677156418710235,0.08117250703798094,0.05101153744739644,0.08189097269343548,10000
,,,False,False,False,LV57,205,2,6,0.0,,0.0,,10000
-0.9952630336213134,1.115170032138242,1.1216813133915453,False,False,False,LV246,47,2,9,0.7185011251185911,0.2553248663894203,0.7222851149516948,0.25342246787086226,10000
-0.18968787340593918,-0.20045019436899753,-0.206662501829042,False,False,False,LV603,449,2,8,0.0075789374781982995,0.03667301717109689,0.007160014148319469,0.035719666777369145,10000
,,,False,False,False,LV57,264,2,7,0.0,,0.0,,10000
2.880443581098291,2.184866239906913,2.181245246055766,True,True,True,LV246,2,3,7,3.1096057347142065,0.12344335100916082,3.1101762469497674,0.12297764751118681,10000
3.5996593107868353,4.3114244472282035,4.339718247897068,True,True,True,LV57,324,3,8,0.2536542166320361,0.11607293292745205,0.25437515652152326,0.11666744747112227,10000
4.559854400671835,3.255738305439454,3.2518524694462485,True,True,True,LV246,158,3,8,1.9303799694603399,0.21968494269366337,1.9320293470824466,0.21891613480900965,10000
3.9873609087313926,-3.7824419396807323,-3.7405646435912634,True,False,False,LV246,127,3,4,3.931427904661134,0.07078839744471956,3.9321443081732186,0.07019406626839052,10000
6.434192356784399,1.923084779743498,1.905857872580628,True,True,True,LV57,218,3,5,0.6623981094170165,0.19702292320345333,0.6592271945529125,0.19690686969128893,10000
7.728688167477175,2.5689058536185954,2.5628188895090296,True,True,True,LV57,213,3,5,1.798920253147923,0.13639414314722256,1.8002158291580483,0.13556663042961045,10000
3.9974340365993113,2.7991020171103593,2.800887641755723,True,True,True,LV246,168,3,8,2.493853056919043,0.18102911280212813,2.4966813862611263,0.18013415460431234,10000
5.620737850899654,3.514563764757508,3.5281621152260727,True,True,True,LV246,128,3,4,3.368648464375789,0.05485167945979685,3.368521420283703,0.055100056359918305,10000
3.7490019965007035,2.2409762153046993,2.2655135565656863,True,True,True,LV246,162,3,8,2.145671568778683,0.15260562117698975,2.148972130943747,0.1528037375322944,10000
7.732607177608448,2.8008724873156363,2.7840356005814906,True,True,True,LV57,207,3,5,1.265223620625008,0.12961703579540193,1.2652561302887606,0.1288262618403983,10000
2.712198975457758,4.376898150982052,4.365266187258438,True,True,True,LV246,65,3,9,3.359115501198861,0.05822031034299503,3.3593267213099143,0.05801732717585392,10000
3.670369946125746,2.0585072648620986,2.058890643611616,True,True,True,LV246,161,3,8,2.292457905761136,0.1650161479897087,2.2906212166106,0.1659391240060843,10000
4.545419617051544,6.6453483483838856,6.673583643419768,True,True,True,LV246,120,3,6,3.829892694393937,0.04466678680782705,3.829291843978797,0.044946987366375146,10000
4.665712668388522,3.8769215000423425,3.87177043657175,True,True,True,LV246,159,3,8,1.8725909650089672,0.15102989698030286,1.872549008475682,0.15084005355633637,10000
