z_original,z_mc_highb,z_analytical,selected_original,selected_mc_highb,selected_analytical,lv_id,feature_idx,length,n_active_strata,mean_analytical,std_analytical,mean_mc_highb,std_mc_highb,b_mc_highb
8.839990852997905,2.7690399627914,2.7523572315646923,True,True,True,LV57,217,2,11,0.36413994331289423,0.19067789486926695,0.36179532738503284,0.19037583633838395,10000
7.002628041853701,5.9931910575007725,6.019134811933698,True,True,True,LV246,24,2,7,0.6110864949745843,0.19411784852545028,0.6114163161425029,0.19490312711579041,10000
2.6484195702518045,2.2215472996185333,2.216343600275774,True,True,True,LV246,7,2,18,1.9237236332224825,0.247262006758671,1.9239900830114587,0.2465628873065206,10000
-2.023012214055437,-0.24252401622536618,-0.22823267737696112,False,False,False,LV246,56,2,9,0.9527836540757794,0.264481681014701,0.9559017687352264,0.26175336291479373,10000
,,,False,False,False,LV57,345,2,19,0.0,,0.0,,10000
0.16155986799696456,0.41383823722018265,0.4130029947980365,False,False,False,LV57,362,2,14,0.14766656191415986,0.1209613294293382,0.14760003239337136,0.12087795744993428,10000
,,,False,False,False,LV57,403,2,3,0.0,,0.0,,10000
-0.2732509521946141,,,False,False,False,LV57,407,2,3,0.0,,0.0,,10000
-4.779856548802951,-0.8174328457520613,-0.8392112810633715,False,False,False,LV57,315,2,23,1.4346500893253231,0.09290262118015971,1.4329975165328561,0.0933561152317906,10000
2.066608070763449,-0.4134703825562663,-0.41212028344967855,True,False,False,LV246,139,2,17,2.206008030854842,0.03744989585738497,2.206207855110309,0.037810896767789134,10000
,,,False,False,False,LV57,283,2,2,0.0,,0.0,,10000
1.9477072513352582,-0.040022619644794206,-0.03528412724032513,True,False,False,LV246,146,2,17,2.576023339958055,0.0670507527973219,2.5763538603474108,0.06737059459241464,10000
,,,False,False,False,LV57,333,2,19,0.0,,0.0,,10000
-0.88198953397935,-0.58893567217223,-0.5867523776363037,False,False,False,LV57,242,2,10,0.04467451678536606,0.07613862080173349,0.04501146907385658,0.07642849839242426,10000
,,,False,False,False,LV57,205,2,5,0.0,,0.0,,10000
-0.9952630336213134,0.8800479322958874,0.8688922669671827,False,False,False,LV246,47,2,9,0.7731389404773221,0.26672503016214316,0.7714418491622981,0.26527237763114025,10000
-0.18968787340593918,,,False,False,False,LV603,449,2,3,0.0,,0.0,,10000
,,,False,False,False,LV57,264,2,10,0.0,,0.0,,10000
2.880443581098291,1.306826206005276,1.3025406925074345,True,False,False,LV246,2,3,18,3.244671536347902,0.10302512749440566,3.2454246694733992,0.10211096714584392,10000
3.5996593107868353,4.33485271659886,4.378391917682777,True,True,True,LV57,324,3,19,0.2474415040807376,0.11646662684627232,0.2486134148681865,0.11736606988465902,10000
4.559854400671835,0.7631617986382347,0.7773789741737653,True,False,False,LV246,158,3,11,2.499620938356843,0.18670694644951955,2.501996203589439,0.18707276690761607,10000
3.9873609087313926,-3.578329033879839,-3.582371752265844,True,False,False,LV246,127,3,15,3.8979574604714027,0.06457122500537937,3.89824434663145,0.06472434939204014,10000
6.434192356784399,-0.20313955412405676,-0.2135967293333839,True,False,False,LV57,218,3,11,1.0795252519564422,0.19489742845406616,1.0775512385087855,0.19521279347399553,10000
7.728688167477175,-0.6666090739192085,-0.6889952045693136,True,False,False,LV57,213,3,11,2.2224708602957213,0.1073986004270566,2.2207592934882814,0.10843769863387547,10000
3.9974340365993113,-1.1642591503400321,-1.2029542535494666,True,False,False,LV246,168,3,11,3.054010984650221,0.04415439966147497,3.0532471135812647,0.04496580662599772,10000
5.620737850899654,4.8277419194443745,4.8004242388419796,True,True,True,LV246,128,3,15,3.342808777901797,0.04569706613128204,3.3424954261671096,0.04550339668126697,10000
3.7490019965007035,-5.408475988853432,-5.477102189139799,True,False,False,LV246,162,3,11,2.6392980582344543,0.027002670529760776,2.6390208547493987,0.027294044142999404,10000
7.732607177608448,-0.047291357087467685,-0.057183126694390296,True,False,False,LV57,207,3,11,1.6323120172474819,0.10894742708849801,1.6311845626798185,0.10789497855028178,10000
2.712198975457758,3.8028183246038205,3.795370697321983,True,True,True,LV246,65,3,16,3.4495709205115,0.043129313548958784,3.450203371937135,0.042878535731964706,10000
3.670369946125746,-3.3152996131109216,-3.347313644493949,True,False,False,LV246,161,3,11,2.805544759185771,0.05178380895645024,2.805320753056863,0.05221628943287127,10000
4.545419617051544,8.145339254361177,8.053563731347904,True,True,True,LV246,120,3,28,3.8426989687222055,0.035422984536165984,3.8427190238251403,0.035021402977278654,10000
4.665712668388522,0.8588838530542972,0.8625115705321175,True,False,False,LV246,159,3,11,2.380267039990517,0.08936345646669056,2.380769863808155,0.0891554674072849,10000
5.899871771414987,-0.3561297592960742,-0.3398300635607052,True,False,False,LV57,210,3,11,1.4315520636536778,0.20594866121959943,1.4350841625115451,0.20644061208387868,10000
,,,False,False,False,LV57,185,3,5,0.0,,0.0,,10000
0.1415496255419152,0.036619389579037535,0.02563555047087687,False,False,False,LV57,371,3,14,0.6790592498149879,0.13451571292890568,0.6776042605787516,0.1339010191190671,10000
,,,False,False,False,LV57,337,3,19,0.0,,0.0,,10000
,,,False,False,False,LV57,331,3,19,0.0,,0.0,,10000
