z_original,z_mc_highb,z_analytical,selected_original,selected_mc_highb,selected_analytical,lv_id,feature_idx,length,n_active_strata,mean_analytical,std_analytical,mean_mc_highb,std_mc_highb,b_mc_highb
8.839990852997905,4.235318433277566,4.2751846101447155,True,True,True,LV57,217,2,26,0.21476178805413568,0.15769888310832408,0.2160226163113818,0.1588855762431335,10000
7.002628041853701,4.987030691636711,5.02075900816044,True,True,True,LV246,24,2,17,0.9349356263260697,0.1682160738950042,0.9344376416367642,0.16945360982682936,10000
2.6484195702518045,1.3230233533358888,1.3156661387855941,True,False,False,LV246,7,2,26,2.156850251663967,0.2393395547293606,2.15603755777934,0.23862287911853466,10000
-2.023012214055437,-0.783458957559663,-0.7829877097707683,False,False,False,LV246,56,2,22,1.0910608354310525,0.2536956085665416,1.090719734372812,0.2531076332190333,10000
,,,False,False,False,LV57,345,2,29,0.0,,0.0,,10000
0.16155986799696456,0.12836194376552096,0.13683879492780612,False,False,False,LV57,362,2,15,0.1798685080721742,0.12975446882897268,0.181016310487074,0.12938135906146458,10000
,,,False,False,False,LV57,403,2,1,0.0,,0.0,,10000
-0.2732509521946141,,,False,False,False,LV57,407,2,3,0.0,,0.0,,10000
-4.779856548802951,-2.0286332805443057,-2.058552729514503,False,False,False,LV57,315,2,30,1.543665018839454,0.09083073489838461,1.5429884054040208,0.09183682708954541,10000
2.066608070763449,0.7451520769579715,0.7348520385085117,True,False,False,LV246,139,2,19,2.170757064034892,0.026967476560676242,2.170339545012222,0.027155026165021367,10000
,,,False,False,False,LV57,283,2,1,0.0,,0.0,,10000
1.9477072513352582,-0.10466588998278337,-0.10250558697758516,True,False,False,LV246,146,2,18,2.581352920339851,0.07507305603487441,2.5815490717579337,0.07539762089097853,10000
,,,False,False,False,LV57,333,2,28,0.0,,0.0,,10000
-0.88198953397935,-0.6212542781629082,-0.6191035362260225,False,False,False,LV57,242,2,11,0.046543293218543114,0.07517852910720747,0.04662044473535874,0.07504245262216723,10000
,,,False,False,False,LV57,205,2,6,0.0,,0.0,,10000
